,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Nigeria,5,719,2303,0,86,9644,296,5638,7,0,402,6502,19001,8,284,275,653,0,459,0,25,388099,2200,8,1494,3994,0,7465,26633,336,12535,50,917,10,22,2807,41,306,834,5,587,0,12,211,0,52,0,488,2942,772,79,0,345,5572,0,4,1629,38,327,8,0,15,0,0,0,160,598,0,31,1114,3097,59,75,0,0,0,189,2218,2584,0,123,506,546,2000,0,1020,12,0,0,168,181,108,3,0,74,0,4,307,0,6,0,0,19,0,339,0,0,0,132,56,40,38,157,129,109,0,243,21,7,38,21,4,66,591,1295,73,482,1609,0,44,4,250,0,119,131,1866,12,239,0,0,58,0,12,36,0,125,254,658,828,0,140,13,0,1185,76,0,913,292,425,256,16,0,0,0,26,64,479,14,170,0,0,22,0,52,0,25,1051,244,0,11,6,0,816,0,188,0,0,0,0,0,0,0,0,59,0,0,30,33,117,0,24,0,0,78,0,117,22,1065,0,123,0,36,0,0,314,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Spain,14,5724,9284,9,24369,109897,27002,670678,9,0,84223,3985,19849,10337,3438,54319,11850,11,6081,0,3291,1610,2550618,451,357,907,0,4422,1103686,37817,496,37820,162347,836,6037,29214,70,1841,83,15,40,2059,43998,72857,8456,228,0,76404,361280,88265,10215,2,22638,13467,3377,20,475023,3532,757,105,0,7,75,0,0,67,58,19,812,1790,13468,930,397,24709,0,0,147,206799,1144,21020,68,196,174995,73828,34,2806,61,7188,3,1300,259,55223,7,222,109,0,15335,8186,8445,69,0,0,13263,53,155706,0,0,13,18483,842,7085,381,145,51,468,124,130,24,2,150,514,1429,3233,30266,2252,41,10383,268,58,588,71,2376,12,263,1166,103780,36,2899,14,287,16404,10,23,934,9,34424,2784,54,109,244,38730,1634,0,1088,3557,22,5720,68228,40,1798,1681,6,37,0,3194,12048,20722,1509,61,4,48,32,0,1425,0,4949,8279,4666,0,719,257,6,267,0,55016,0,2533,333,233,353,0,0,0,11,0,0,12949,4328,7936,1596,1086,0,0,143,0,1668,0,134,621,18051,0,2514,0,0,791,0,0,0,1382,15,26,0,3,117,0,0,1,103,0,0
Iran,0,346,371,47,393,1058,11,4554,0,0,146,6,23012,0,3,3074,3367,0,11,0,0,2,848,350316,0,0,0,211,1770,5,1,0,235,602,0,71386,21,137,272,0,0,0,0,102,0,90,0,7,1527,719,280,0,44,5374,0,0,2752,0,6526,0,0,0,51,0,0,0,0,132,22,391,102,707,15,0,641,0,1,976,5,0,0,0,512,1049,0,138,7,0,0,4,0,39,39,36,0,0,0,2612,0,0,0,0,3,0,14,0,0,0,10,130,0,3545,1,0,2,0,0,0,0,8,77,0,41,1,1990,0,2159,1,4,13959,963,0,0,0,0,16,0,42,0,52,3,0,0,4,0,110,0,0,0,5,64,2251,4,0,2,0,0,21,0,495,0,0,0,0,2,172,234,108,0,0,4,0,0,3,0,3,11962,84,0,1,82,0,4,0,62,0,0,19,3,62,0,0,0,0,0,0,0,235,5,0,0,0,0,3,0,5323,0,0,3,7,0,375,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast (Cote d'Ivoire),0,58,198,0,719,1712,52,875,0,0,61,1161,1325,0,46,79,144,0,255,0,0,1505,497,1,7178,851,0,62,1181,2,2542,0,743,13,0,658,5,33,18,0,161,9,0,251,0,8,0,3524,15857,111,24,0,88,801,0,0,269,2,22,24,0,69,0,0,0,1149,547,1,7,15,708,0,3,0,0,0,16,376,337,7,599,57,507,141,0,33,0,0,0,95,3186,14,6,0,0,0,0,69,0,0,0,0,12,0,598,0,0,0,0,0,0,0,438,21,0,0,20,0,0,0,0,0,7,217,1982,12,48,1429,0,4,3,18,0,3936,9116,74,5,68,0,0,5,0,53,4,0,17,0,558,139,0,38,7,0,5,13,0,4789,38,521,11,0,1,0,0,61,12,37,1,2324,0,0,0,0,78,0,24,26,1128,0,0,0,0,195,0,2,0,0,20,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,58,0,1346,0,10,0,6,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,650,611,2329,12,2098,1012,3951,0,0,288,3276,19236,0,71,249,6308,0,1271,0,4,3966,949,1,702,210399,0,12098,3445,22,1005,25,1695,97,24,4213,682,1101,2041,1401,203,18,93,464,2,4,0,106,2054,1298,354,0,163,3470,0,81,3487,0,254,821,0,36,4057,0,350,309,211,0,143,49,1404,3,13,12,1,0,1167,1245,6603,30,820,2563,657,661,0,224,4,4,1,2212,365,38,4733,0,0,0,0,156,0,0,0,0,3,0,67,0,0,0,1,400,0,13,5011,469,18,0,876,2,0,520,27,0,19,2648,5159,2096,669,1137,0,18,5,61,640,181,427,72,1729,35,0,0,3,0,14,1,0,142,1252,68,817,0,26,12,0,0,1,0,908,290,67,143,0,2,0,0,8,1943,59,21,203,0,0,0,0,6,0,22,1555,107,0,14,0,6,1435,0,134,0,0,4,0,2,0,0,0,0,0,0,33,16,5,3,4,0,0,10,0,476,14,413,0,5,0,35,0,0,67,53,0,0,3,2,22,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,9819,0,0,0,18,1,43,0,0,7,14,14,0,106,5,17,0,2977,0,0,0,5,0,0,0,149917,0,37,0,0,0,23,4,0,12,0,0,0,0,0,0,0,0,0,0,1426,0,23,1,343,0,0,77,0,0,14,0,0,0,0,0,0,0,0,0,0,0,403,0,6,0,18,0,0,0,0,12,0,0,0,0,3,0,0,213,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,285,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,9,0,0,0,0,0,0,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,2418,250459,868,6725,13891,255,7074,0,0,911,3814,178215,13,91781,1998,1684,0,35562,0,0,7509,4380,151,85,14913,0,1657185,34883,163,845,137,3786,8912,40,68346,10,30356,35712,105,438,156,25,269,4,2866,0,12121,9266,510,287,0,1538,236407,0,0,5071,0,18587,30,0,3,50,0,23,155,6,4414,118,1339,3582,3686,41,16,6,0,125,2541,2797,16,4,68,587,1432,0,48026,0,4,5,266,65,427,502,647,0,0,15,212075,0,6,1,0,0,25,573,0,0,104,11,35869,16,3264,54,6,189,1,37,0,0,11,13279,0,422,71,21918,20,3146,144,0,6221,8677,39,162,53,126,531,28,665,0,258,171,0,0,24,0,608,59,11,22,7,315,1589,1,3,329,661,167,645,3,77326,9,0,0,0,28,537,803,432,21,0,0,2,0,2600,0,28,3305,11766,0,425,36,0,831,0,199,0,126,76,0,551,0,0,0,0,0,0,77,345,91,3,4,0,0,4,0,34458,0,71,50,52,0,7063,0,0,1676,0,0,0,87,0,12,0,4,8,0,0,0,0,0,0
United Kingdom,126,81024,37621,1876,6512,526679,22080,424618,106,0,110704,60082,117103,172,8698,33850,16680,5,15387,0,927,24069,1098091,1522,1300,2295,26,37273,1371706,32179,10771,5389,346705,16910,1453,74053,858,6039,1261,234,193,302,10983,105051,57926,426,3,61034,395255,82409,22570,0,59460,165435,213,1131,456946,131,7260,125,0,30,277,65,18,184,461,0,21946,51356,59823,2367,1520,3378,0,0,521,317300,14695,6406,368,1226,40687,130536,7647,18460,547,288,367,4270,230,125546,248,774,2160,0,1868,68789,1032,254,0,9,5049,157,212438,0,0,17,12402,4052,7743,2386,578,555,3331,38,1306,346,2465,2404,10268,214,8688,44676,4788,3629,64521,678,42423,8367,1802,1446,60,192,279,446124,683,14927,25,688,87118,107,18,1593,1038,86232,333,990,1098,24541,100583,1873,0,15506,8022,565,1424,325400,112,13172,8570,12,1,0,9260,12371,16831,4651,97,3667,552,1154,910,14211,0,29009,14348,5448,0,10948,102,22,3659,359,41816,16,45,238,5,359,0,0,0,373,13510,0,47428,21046,46467,1741,308,0,0,19976,0,13925,25,132,6363,23876,0,20714,0,41,10719,36,619,0,2760,39,6812,0,0,28,27,0,7522,534,0,0
Mexico,78,3692,828,0,24,1153488,25412,24102,30,0,3095,519,1858,1308,124,4009,625,0,557,0,15308,139,40169,9,14,10,0,175,32924,3553001,177,59639,6188,24,11528,3264,3,107,0,0,0,0,27779,1701,129,63,0,374,34409,4555,8774,0,373,1847,1799,104,4214,2305,26,0,0,0,0,0,0,0,0,0,1074,123,362315,4,6,32840,0,0,2,6790,193,24901,0,3,4552,2182,55,261,0,1563,0,47,0,783,0,2,399,0,14347,45,3017,108,0,0,29799,6,1612,0,0,1,4644,18,21534,14,0,0,8,4,0,325,28,85,41,1475,127,3001,66,6,316,0,25,43,0,0,0,0,6,1381,0,209,0,4,270,6,0,34,0,1106,3,0,0,24,1267,31,0,0,141,1,149,3082,0,7,5,159,0,0,86,5032,853,786,0,157,144,70,0,172,0,103,188,88,0,44,6,0,32,7,869,0,0,9,13,0,2,0,0,27,0,0,13,210,60,12,5635,0,0,789,0,17,0,11,69,141,0,393,0,0,142,0,41,0,0,0,401,0,0,0,0,0,6,201,0,0
Ghana,0,596,655,0,25,6587,83,3655,2,0,496,3835,3989,6,45,120,254,0,242,0,13,13060,768,1,3290,937,0,1015,11068,200,40413,8,679,14,16,1024,25,511,50,5,50,0,5,318,6,0,0,879,1625,264,13,0,179,1866,4,4,1114,0,338,5,0,10,3,0,0,146,35,0,51,60,1590,0,3,6,0,0,50,4035,513,8,124,33,796,277,0,129,3,0,0,185,893,54,11,0,91,0,17,81,0,0,0,0,0,2,528,0,0,0,129,117,25,3,84,38,22,0,90,20,1,4,9,0,18,188,633,106,130,362,11,45,0,1380,5,100,376,205,21,71,0,4,37,0,12,33,3,48,0,813,449,0,105,0,0,1,11,0,1393,33,3450,33,3,0,0,0,37,46,123,1,144,0,0,3,0,5,0,0,282,135,0,5,4,0,243,0,208,0,0,3,0,8,0,0,0,50,0,0,36,8,7,0,18,0,0,73,0,290,5,503,37,4,0,12,0,0,51,0,0,0,0,99,2,0,0,0,0,0,0,0,0,0
Colombia,13,2165,91,0,8,138561,18364,6452,213,0,655,116,534,13705,11,383,38,0,45,0,4017,24,45426,0,5,56,0,93,5918,59338,13,2098423,2573,4,38006,859,0,21,0,0,4,0,18962,365,13,8,0,75,11908,1250,73,0,148,267,2759,172,756,1639,20,0,0,0,0,0,0,0,16,0,238,3,15112,8,0,32187,0,0,2,2546,35,26213,0,8,952,995,14,48,0,5296,0,4,0,30,0,0,1127,0,18748,14,1654,3247,0,0,2467,0,1047,0,1,0,8546,50,8388,5,0,0,1,2,0,93,0,0,6,674,61,946,70,5,91,0,113,0,0,0,0,0,0,205,0,4,0,0,34,49,0,3,12,304,0,0,0,4,174,2,0,0,68,0,0,228,0,8,0,42,0,0,14,105,99,6,0,4,3810,23,8,0,0,0,43,0,0,8,0,0,18,29,134,0,0,0,4,0,0,0,0,30,0,0,164,23,35,0,2904,0,0,466,0,28,0,0,11,97,0,6,0,0,0,0,4,0,3,0,329,0,0,0,0,0,13,662,0,0
Switzerland,44,5644,14377,121,2412,61836,13319,182217,14,0,28970,7959,26677,154,3194,24239,2483,0,3200,0,494,658,169199,240,615,1024,4,3161,347420,5565,483,2285,6198,3178,861,43690,602,2815,249,155,100,75,3674,16582,1952,118,0,21609,118189,26628,7527,0,16698,9841,112,8,74329,97,1535,259,0,68,47,18,131,213,133,0,2182,3144,9888,495,1230,1673,0,0,94,61871,4964,1700,266,140,39739,40257,72,2656,386,189,8,2618,628,11496,61,18,215,0,898,632,444,230,0,0,3193,113,82462,0,0,0,4344,604,3838,336,1085,46,729,73,114,32,23,1428,441,119,46192,18484,2211,168,24001,771,79,1037,106,191,33,95,204,15339,73,3979,40,738,6440,101,37,1008,0,13974,21,91,421,269,20698,566,0,1437,3035,120,1637,25553,32,524,383,12,1,0,1362,804,5843,748,142,42,173,46,11,6473,0,2775,4204,3962,0,2619,127,25,418,40,15894,0,87,225,56,458,0,0,0,0,0,0,2750,5412,1352,1136,82,0,0,248,0,1780,3,322,1425,7063,0,9278,0,0,4784,4,31,0,8746,15,73,0,1,142,13,0,36,354,0,0
Sri Lanka,0,12843,536,18,0,1925,77,8799,0,0,2455,308,18246,0,2557,16039,3999,0,1123,0,4,32,693,369,22,70,0,10566,18707,28,0,5,3574,2157,0,605,3,673,117,11,3,18,18,1546,0,0,0,70,7817,2370,4972,0,446,72036,0,0,880,0,2863,61,0,10,31,0,24,0,0,2,1058,465,5772,21,413,9,1,0,25,1576,127,20,0,0,937,1262,0,7508,26,4,21,46,0,607,14,0,4,0,0,2309,0,0,0,0,34,10,236,0,0,18,0,898,5,270,11,96,357,0,82,0,28,733,576,0,154,1402,338,8,9562,48,3,178,67,0,0,3,15,330,32,1838,0,5,90,0,0,337,0,3814,0,8,28,50,378,200,0,0,272,106,8,2564,0,2843,17,3,0,0,696,1960,1711,794,4,0,0,3,0,19768,0,363,9190,76,0,18,0,0,63,0,483,0,0,109,0,2,0,0,0,0,0,0,69,731,222,0,0,0,0,0,0,5463,24,0,0,48,0,7960,0,3,85,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Panama,0,130.99998,22.00001,0,0,71431.001,5322.99633,3319.00017,303.00016,0,398.00001,173.99994,368,15381.99976,8,395.99998,122.00084,0,638.00038,0,5723.00015,12,6191.99962,0,0,12,0,6,1647.99998,10048.99739,23,35887.00131,936.00003,11.00001,28389.99951,424.00012,0,36,0,0,0,0,4068.0012,168.00002,46,0,0,84.00003,5018.00064,293.99989,81.0002,0,470.99967,470.99982,787.00029,775.00025,270.99984,3019.00076,7,0,0,0,0,0,0,0,0,0,32,0,11236.99987,0,74.00004,5813.00026,0,0,0,871.99968,58,1678.0026,0,5,346.00008,808.00012,12,16,0,1039.00061,0,2,0,300.00016,0,0,653.99998,0,9045.99776,6,1312.99953,1536.99999,0,0,12099.99992,5,357.00006,0,0,0,5648.00016,8,12872.00091,4,0,0,0,20,0,501.00012,0,0,2,2925.00049,2,580,30.00002,0,181.00002,3,421.99996,0,0,0,0,0,0,99.99999,2,34,0,0,31,0,0,11,0,189.00001,0,0,0,0,256.00009,24,0,0,87.99998,0,39.99999,294.00004,0,9,0,930.00031,0,0,5,73.99994,321.99993,11,0,27,870.99989,55.00001,0,0,0,81,24,0,0,3,0,0,0,33.00001,128.99997,0,0,0,47,0,0,0,0,83.00001,0,0,117,17,10,0,3058.99944,0,0,964.00022,0,0,0,0,0,20,0,16.99999,0,0,0,0,0,0,3,0,1671,0,0,0,0,0,27,211.00001,0,0
Turkey,7,4076,19557,1429,18503,45095,2974,292019,47,0,18462,3862,32754,683,11881,72370,6831,0,3005,0,5,2452,25954,64709,502,3928,0,65887,72905,2793,855,571,40375,737,759,2546882,102,12326,2046,100,126,475,1407,6361,83,18913,0,15084,55608,12031,6851,0,16992,18604,95,0,53234,0,5979,160,0,6,282,0,30,456,141,11725,293,124451,6221,14034,62,338,0,0,427,41350,2232,721,157,50,22708,28519,0,5849,15,41,5,2311,465,13957,368,9131,0,0,66,9310,31,8,0,0,2042,935,5011,0,0,10,707,8064,112,28193,500,70,108,40,262,0,0,744,359,3,15897,33986,16984,51,6914,482,28,44234,6211,310,17,203,306,2959,19,973,0,6059,3986,5,0,3883,0,7693,37,88,270,11,8137,14856,3,17,3400,30,795,8521,433,3361,3850,0,26,0,1877,16235,40356,7124,143,0,31,0,0,1207,0,2214,9394,10713,0,6081,2972,0,804,0,5061,0,46,1631,58,7079,0,0,0,0,0,0,2844,3519,2920,2636,3,0,0,256,0,30026,0,152,3709,2379,0,6379,0,0,1122,0,7,0,6820,0,4,0,2,5,0,0,0,0,0,0
Namibia,0,91,35,6,4,407,87,7670,0,0,253,17439,29,0,23,107,152,0,63,0,0,17,187,0,2,1073,0,3,738,0,69,0,659,18,0,124,11251,0,4,0,0,0,8,89,9,0,0,0,607,47,41,0,48,69,0,2,154,0,4,13,0,0,0,0,0,0,0,0,36,11,68,1,10,0,0,0,86,214,98,0,0,1958,237,423,0,28,10,0,0,69,0,26,0,0,4,0,0,11,0,0,0,0,16,0,175,0,0,0,0,0,0,3,0,473,6,0,334,0,0,39,3,0,0,49,6,923,20,0,0,0,0,0,0,0,12,21,14,0,0,0,7,0,0,6,0,48,0,0,52,0,57,0,0,0,20,0,0,83,0,25,3,0,0,0,8,45,30,3,0,0,0,0,0,0,0,5,475,0,0,0,0,0,59,0,88,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,6,5,0,0,9,0,0,0,0,65,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,1388,22790,91,2103,9592,186,8498,0,0,712,236,32636,9,4061,1969,229,0,1164,0,0,124,1459,3,45,219,0,26892,4957,91,72,27,2686,992,27,17979,2,3082,943,29,9,23,14,164,0,21,0,896,5164,798,75,0,3948,3482,0,0,10830,0,2507,2,0,5,37,0,4,7,0,2660,71,2485,1704,38,40,16,0,0,6,2902,409,22,0,3,1668,403,0,1582,5,3,0,25,0,2044,3,0,0,0,12,969,2,0,0,0,0,2,170,0,0,0,50,1620,3,118,0,5,10,0,4,0,0,26,292,0,80,256,8354,16,469,0,0,12001,64,0,3,0,36,125,0,23,0,40,1484,0,0,43,0,1832,0,4,5,7,1554,187,0,1,21,2,43,3033,0,2958,30,0,0,0,5,233,517,37,0,0,0,0,0,53,0,0,6113,987,0,29,13,0,737,0,92,0,11,82,0,5,0,0,0,0,0,0,1639,46,1439,0,4,0,0,0,0,11697,0,0,13,50,0,15,0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,505,9082,174,96,678,8,1124,0,0,63,228,12128,0,144,223,199,0,82,0,0,717,83,250,21,2433,0,32956,1543,0,88,0,218,6,0,1707,0,879,22718,2119,347,0,7,154,5,9,0,199,425,583,64,0,7,3362,0,0,96,0,3151,0,0,6,24,0,0,46,4,1686,35,45,587,0,0,0,673,0,12,253,651,0,7,13,106,103,0,557,0,0,0,457,14,19,904,4,0,0,0,436,0,0,0,0,0,2,17,0,0,0,0,573,0,36,6,0,0,0,69,0,0,0,33,0,15,0,2115,95,61,5,0,650,218,0,64,0,16,89,32,0,0,5,0,0,3,0,0,9,0,7,193,0,83,41,0,0,12,4,28,142,2,33,3,0,0,0,9,16,24,2,5,0,0,0,0,0,0,0,2432,672,0,0,4,0,567,0,5,0,0,35,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,1546,0,9,0,0,0,42,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,109,602,24,0,78,12,34,0,0,8,422,608,0,4,40,86,0,10,0,0,0,43,0,0,1423,0,88,220,0,0,0,171,24,0,122,0,26,2067,758,0,0,4,19,0,0,0,0,33,9,11,0,14,198,0,0,6,0,5,0,0,1,11,0,0,0,0,0,0,0,82,0,3,3,1,0,0,92,1863,0,0,0,10,20,0,91,0,0,0,59,0,0,8,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,2,0,14,0,0,3,11,0,4,35,179,31,38,0,0,4,24,0,15,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,31,0,0,22,0,4,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,50,3,0,0,0,0,4522,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,4,13,702,0,16,168,0,107,0,0,6,128,562,0,2,9,81,0,30,0,0,601,92,0,229,348,0,367,266,6,70,0,79,0,0,290,0,18,366,0,2460,0,0,0,0,0,0,513,1030,10,11,0,4,85,0,0,9,0,43,0,0,41,0,0,0,118,61,0,0,6,172,0,0,0,0,0,0,85,113,0,70,0,33,53,0,9,0,0,0,0,42,16,0,0,0,0,0,52,0,0,0,0,0,0,80,0,0,0,6,0,0,0,64,0,0,0,3,0,0,0,0,0,3,45,23,0,16,1342,0,0,0,0,0,4,88,8,0,0,0,0,4,0,25,0,0,12,117,0,49,0,7,17,0,0,0,0,240,8,15,35,0,0,0,0,0,8,12,0,69,0,0,0,0,0,0,0,28,158,0,11,0,0,42,0,0,0,4,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,16,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,17,22,0,650,58,0,563,0,0,25,76,306,0,24,2,45,0,36,0,0,0,2078,0,34,0,0,98,406,0,0,0,132,3,0,443,0,44,8,0,0,3531,0,4,0,0,0,2702,2556,0,2,0,46,116,0,0,135,0,0,0,0,0,0,0,0,0,18,0,0,0,82,0,0,0,0,0,0,87,9,0,52,0,75,4,0,40,0,0,0,0,0,8,0,0,0,0,0,77,0,0,0,0,0,0,47,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,17,0,0,0,0,1,0,89,1017,19,0,6,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,7,0,2209,0,0,0,0,0,0,0,0,3,8,0,128,0,0,0,0,0,0,8,134,1309,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,17,5877,361,0,73,82211,137571,6939,17,0,2005,2427,1158,2080,98,1166,498,0,243,0,462,4,40799,2,0,39,0,50,11351,25120,2,18527,3735,9,2611,1265,10,9,0,2,0,0,1023400,802,47,7,0,55,9104,897,272,0,471,1107,10838,52,8189,213,21,19,0,0,0,5,0,0,0,0,2042,13,4623,7,6,20985,0,0,15,2535,54,60265,0,31,1836,722,0,157,3,7484,14,76,0,223,0,0,147,0,2571,10,14496,814,0,0,4503,0,1708,0,0,0,11082,15,3131,6,0,0,3,9,6,3,6,0,16,44,169,2853,81,15,1622,6,36,4,0,0,0,0,0,567,0,143,6,0,124,0,0,28,0,518,0,0,0,0,244,0,0,0,124,0,17,657,0,3,0,17,0,0,12,145,391,24,0,0,222,6,0,8,0,65,248,117,0,130,0,0,0,2,314,0,0,0,24,0,0,0,0,17,0,0,129,86,37,36,187,0,0,1430,0,16,0,0,7,255,0,24,0,181,18,0,0,0,6,0,25,0,0,0,0,0,0,66,0,0
Norway,0,2651,948,248,102,27798,2657,59059,2,0,76521,2378,3739,7,1273,3344,705,0,2558,0,67,129,77404,86,140,327,0,274,106068,1722,330,356,16133,1324,184,7404,75,271,78,23,3,1,526,1075565,5908,5,0,1404,24150,51296,1223,14,2390,3830,24,0,9425,1,74,68,0,0,4,6,0,14,18,0,313,1444,1934,95,130,287,0,0,16,26106,1885,1016,10,26,8983,15952,0,1262,8,55,0,1001,4,5351,49,0,4,0,113,2420,30,149,0,0,1007,40,6335,0,0,0,467,69,262,135,31,15,151,1,184,0,0,166,280,6,2973,1491,227,37,16355,57,60,1329,177,385,10,17,33,4224,48,2222,6,525,1502,18,4,176,0,4991,17,31,108,103,8815,109,0,13,1519,0,136,109515,69,215,145,0,0,0,5270,303,1208,102,0,0,111,3,0,841,0,11684,375,247,0,257,0,0,387,24,15839,0,6,93,11,50,0,0,0,2,0,0,1012,472,20282,56,16,0,0,29,0,223,0,0,332,617,0,559,0,0,651,3,7,0,1461,0,36,0,0,0,0,0,16,91,0,0
Iceland,0,240,5,0,8,22293,86,11255,0,0,9253,48,106,0,26,358,443,0,46,0,0,0,8563,0,0,9,0,0,55028,73,0,9,1867,4,0,128,0,2,6,0,0,0,26,5814,22622,0,0,5,8076,3493,165,543,130,307,0,0,173,0,5,0,0,0,0,0,0,0,0,0,9,0,3057,7,0,0,0,0,0,5291,60,34,0,0,2007,2097,0,330,4,0,0,10,0,5,0,0,0,0,0,0,0,1,0,0,6,0,151,0,0,0,14,11,2,0,0,0,5,0,0,0,0,0,6,0,0,137,0,0,173,0,0,2,0,0,0,0,0,4518,0,77,0,0,0,0,0,0,0,160,0,0,0,0,2058,0,0,0,12,0,0,9698,0,0,98,1,0,0,69,153,158,9,0,0,0,0,0,7,0,1445,40,2,0,0,0,0,0,0,5352,0,2,0,0,0,0,0,0,0,0,0,0,259,1363,0,0,0,0,0,0,48,0,0,0,45,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
